,,,Total Trips
Year3Vinegar Hill-East Village,Vinegar Hill-East Village,Year3,738
Year1Vinegar Hill-Financial District,Vinegar Hill-Financial District,Year1,430
Year2Vinegar Hill-Financial District,Vinegar Hill-Financial District,Year2,382
Year3Vinegar Hill-Financial District,Vinegar Hill-Financial District,Year3,573
Year1Vinegar Hill-Flatiron District,Vinegar Hill-Flatiron District,Year1,89
Year2Vinegar Hill-Flatiron District,Vinegar Hill-Flatiron District,Year2,27
Year3Vinegar Hill-Flatiron District,Vinegar Hill-Flatiron District,Year3,70
Year1Vinegar Hill-Fort Greene,Vinegar Hill-Fort Greene,Year1,4031
Year2Vinegar Hill-Fort Greene,Vinegar Hill-Fort Greene,Year2,4249
Year3Vinegar Hill-Fort Greene,Vinegar Hill-Fort Greene,Year3,5208
Year3Vinegar Hill-Governors Island,Vinegar Hill-Governors Island,Year3,1
Year1Vinegar Hill-Gramercy,Vinegar Hill-Gramercy,Year1,233
Year2Vinegar Hill-Gramercy,Vinegar Hill-Gramercy,Year2,186
Year3Vinegar Hill-Gramercy,Vinegar Hill-Gramercy,Year3,217
Year3Vinegar Hill-Greenpoint,Vinegar Hill-Greenpoint,Year3,521
Year1Vinegar Hill-Greenwich Village,Vinegar Hill-Greenwich Village,Year1,375
Year2Vinegar Hill-Greenwich Village,Vinegar Hill-Greenwich Village,Year2,228
Year3Vinegar Hill-Greenwich Village,Vinegar Hill-Greenwich Village,Year3,266
Year1Vinegar Hill-Hells Kitchen,Vinegar Hill-Hells Kitchen,Year1,107
Year2Vinegar Hill-Hells Kitchen,Vinegar Hill-Hells Kitchen,Year2,50
Year3Vinegar Hill-Hells Kitchen,Vinegar Hill-Hells Kitchen,Year3,71
Year1Vinegar Hill-Kips Bay,Vinegar Hill-Kips Bay,Year1,147
Year2Vinegar Hill-Kips Bay,Vinegar Hill-Kips Bay,Year2,88
Year3Vinegar Hill-Kips Bay,Vinegar Hill-Kips Bay,Year3,108
Year3Vinegar Hill-Long Island City,Vinegar Hill-Long Island City,Year3,59
Year1Vinegar Hill-Lower East Side,Vinegar Hill-Lower East Side,Year1,1013
Year2Vinegar Hill-Lower East Side,Vinegar Hill-Lower East Side,Year2,818
Year3Vinegar Hill-Lower East Side,Vinegar Hill-Lower East Side,Year3,1012
Year1Vinegar Hill-Midtown,Vinegar Hill-Midtown,Year1,440
Year2Vinegar Hill-Midtown,Vinegar Hill-Midtown,Year2,227
Year3Vinegar Hill-Midtown,Vinegar Hill-Midtown,Year3,337
Year1Vinegar Hill-Murray Hill,Vinegar Hill-Murray Hill,Year1,96
Year2Vinegar Hill-Murray Hill,Vinegar Hill-Murray Hill,Year2,64
Year3Vinegar Hill-Murray Hill,Vinegar Hill-Murray Hill,Year3,76
Year1Vinegar Hill-Navy Yard,Vinegar Hill-Navy Yard,Year1,1594
Year2Vinegar Hill-Navy Yard,Vinegar Hill-Navy Yard,Year2,1364
Year3Vinegar Hill-Navy Yard,Vinegar Hill-Navy Yard,Year3,1890
Year1Vinegar Hill-NoHo,Vinegar Hill-NoHo,Year1,85
Year2Vinegar Hill-NoHo,Vinegar Hill-NoHo,Year2,55
Year3Vinegar Hill-NoHo,Vinegar Hill-NoHo,Year3,65
Year1Vinegar Hill-Nolita,Vinegar Hill-Nolita,Year1,356
Year2Vinegar Hill-Nolita,Vinegar Hill-Nolita,Year2,326
Year3Vinegar Hill-Nolita,Vinegar Hill-Nolita,Year3,273
Year1Vinegar Hill-Park Slope,Vinegar Hill-Park Slope,Year1,197
Year2Vinegar Hill-Park Slope,Vinegar Hill-Park Slope,Year2,150
Year3Vinegar Hill-Park Slope,Vinegar Hill-Park Slope,Year3,345
Year3Vinegar Hill-Prospect Park,Vinegar Hill-Prospect Park,Year3,2
Year3Vinegar Hill-Red Hook,Vinegar Hill-Red Hook,Year3,2
Year1Vinegar Hill-SoHo,Vinegar Hill-SoHo,Year1,429
Year2Vinegar Hill-SoHo,Vinegar Hill-SoHo,Year2,482
Year3Vinegar Hill-SoHo,Vinegar Hill-SoHo,Year3,640
Year1Vinegar Hill-Stuyvesant Town,Vinegar Hill-Stuyvesant Town,Year1,98
Year2Vinegar Hill-Stuyvesant Town,Vinegar Hill-Stuyvesant Town,Year2,79
Year3Vinegar Hill-Stuyvesant Town,Vinegar Hill-Stuyvesant Town,Year3,149
Year1Vinegar Hill-Theater District,Vinegar Hill-Theater District,Year1,106
Year2Vinegar Hill-Theater District,Vinegar Hill-Theater District,Year2,46
Year3Vinegar Hill-Theater District,Vinegar Hill-Theater District,Year3,21
Year1Vinegar Hill-Tribeca,Vinegar Hill-Tribeca,Year1,611
Year2Vinegar Hill-Tribeca,Vinegar Hill-Tribeca,Year2,373
Year3Vinegar Hill-Tribeca,Vinegar Hill-Tribeca,Year3,723
Year1Vinegar Hill-Two Bridges,Vinegar Hill-Two Bridges,Year1,115
Year2Vinegar Hill-Two Bridges,Vinegar Hill-Two Bridges,Year2,288
Year3Vinegar Hill-Two Bridges,Vinegar Hill-Two Bridges,Year3,170
Year1Vinegar Hill-Upper East Side,Vinegar Hill-Upper East Side,Year1,11
Year2Vinegar Hill-Upper East Side,Vinegar Hill-Upper East Side,Year2,16
Year3Vinegar Hill-Upper East Side,Vinegar Hill-Upper East Side,Year3,63
Year1Vinegar Hill-Upper West Side,Vinegar Hill-Upper West Side,Year1,23
Year2Vinegar Hill-Upper West Side,Vinegar Hill-Upper West Side,Year2,5
Year3Vinegar Hill-Upper West Side,Vinegar Hill-Upper West Side,Year3,21
Year1Vinegar Hill-Vinegar Hill,Vinegar Hill-Vinegar Hill,Year1,3107
Year2Vinegar Hill-Vinegar Hill,Vinegar Hill-Vinegar Hill,Year2,2063
Year3Vinegar Hill-Vinegar Hill,Vinegar Hill-Vinegar Hill,Year3,3039
Year1Vinegar Hill-West Village,Vinegar Hill-West Village,Year1,206
Year2Vinegar Hill-West Village,Vinegar Hill-West Village,Year2,179
Year3Vinegar Hill-West Village,Vinegar Hill-West Village,Year3,336
Year1Vinegar Hill-Williamsburg,Vinegar Hill-Williamsburg,Year1,2453
Year2Vinegar Hill-Williamsburg,Vinegar Hill-Williamsburg,Year2,2201
Year3Vinegar Hill-Williamsburg,Vinegar Hill-Williamsburg,Year3,3549
Year1West Village-Battery Park City,West Village-Battery Park City,Year1,23729
Year2West Village-Battery Park City,West Village-Battery Park City,Year2,24948
Year3West Village-Battery Park City,West Village-Battery Park City,Year3,38468
Year1West Village-Bedford-Stuyvesant,West Village-Bedford-Stuyvesant,Year1,376
Year2West Village-Bedford-Stuyvesant,West Village-Bedford-Stuyvesant,Year2,112
Year3West Village-Bedford-Stuyvesant,West Village-Bedford-Stuyvesant,Year3,301
Year1West Village-Boerum Hill,West Village-Boerum Hill,Year1,307
Year2West Village-Boerum Hill,West Village-Boerum Hill,Year2,266
Year3West Village-Boerum Hill,West Village-Boerum Hill,Year3,343
Year1West Village-Brooklyn Heights,West Village-Brooklyn Heights,Year1,863
Year2West Village-Brooklyn Heights,West Village-Brooklyn Heights,Year2,608
Year3West Village-Brooklyn Heights,West Village-Brooklyn Heights,Year3,800
Year1West Village-Central Park,West Village-Central Park,Year1,618
Year2West Village-Central Park,West Village-Central Park,Year2,523
Year3West Village-Central Park,West Village-Central Park,Year3,1632
Year1West Village-Chelsea,West Village-Chelsea,Year1,87224
Year2West Village-Chelsea,West Village-Chelsea,Year2,89944
Year3West Village-Chelsea,West Village-Chelsea,Year3,122231
Year1West Village-Chinatown,West Village-Chinatown,Year1,4350
Year2West Village-Chinatown,West Village-Chinatown,Year2,4439
Year3West Village-Chinatown,West Village-Chinatown,Year3,5577
Year1West Village-Civic Center,West Village-Civic Center,Year1,2188
Year2West Village-Civic Center,West Village-Civic Center,Year2,2273
Year3West Village-Civic Center,West Village-Civic Center,Year3,3131
Year1West Village-Clinton Hill,West Village-Clinton Hill,Year1,366
Year2West Village-Clinton Hill,West Village-Clinton Hill,Year2,310
Year3West Village-Clinton Hill,West Village-Clinton Hill,Year3,276
Year1West Village-Columbia St,West Village-Columbia St,Year1,63
Year2West Village-Columbia St,West Village-Columbia St,Year2,76
Year3West Village-Columbia St,West Village-Columbia St,Year3,103
Year1West Village-DUMBO,West Village-DUMBO,Year1,203
Year2West Village-DUMBO,West Village-DUMBO,Year2,355
Year3West Village-DUMBO,West Village-DUMBO,Year3,635
Year1West Village-Downtown Brooklyn,West Village-Downtown Brooklyn,Year1,2345
Year2West Village-Downtown Brooklyn,West Village-Downtown Brooklyn,Year2,542
Year3West Village-Downtown Brooklyn,West Village-Downtown Brooklyn,Year3,937
Year1West Village-East Village,West Village-East Village,Year1,43724
Year2West Village-East Village,West Village-East Village,Year2,45281
Year3West Village-East Village,West Village-East Village,Year3,56509
Year1West Village-Financial District,West Village-Financial District,Year1,12080
Year2West Village-Financial District,West Village-Financial District,Year2,11275
Year3West Village-Financial District,West Village-Financial District,Year3,16168
Year1West Village-Flatiron District,West Village-Flatiron District,Year1,9657
Year2West Village-Flatiron District,West Village-Flatiron District,Year2,10009
Year3West Village-Flatiron District,West Village-Flatiron District,Year3,13229
Year1West Village-Fort Greene,West Village-Fort Greene,Year1,2200
Year2West Village-Fort Greene,West Village-Fort Greene,Year2,745
Year3West Village-Fort Greene,West Village-Fort Greene,Year3,692
Year3West Village-Governors Island,West Village-Governors Island,Year3,2
Year1West Village-Gramercy,West Village-Gramercy,Year1,9906
Year2West Village-Gramercy,West Village-Gramercy,Year2,9783
Year3West Village-Gramercy,West Village-Gramercy,Year3,12107
Year3West Village-Greenpoint,West Village-Greenpoint,Year3,342
Year1West Village-Greenwich Village,West Village-Greenwich Village,Year1,49058
Year2West Village-Greenwich Village,West Village-Greenwich Village,Year2,47454
Year3West Village-Greenwich Village,West Village-Greenwich Village,Year3,59109
Year1West Village-Hells Kitchen,West Village-Hells Kitchen,Year1,25926
Year2West Village-Hells Kitchen,West Village-Hells Kitchen,Year2,23675
Year3West Village-Hells Kitchen,West Village-Hells Kitchen,Year3,31339
Year1West Village-Kips Bay,West Village-Kips Bay,Year1,7063
Year2West Village-Kips Bay,West Village-Kips Bay,Year2,6158
Year3West Village-Kips Bay,West Village-Kips Bay,Year3,7154
Year3West Village-Long Island City,West Village-Long Island City,Year3,141
Year1West Village-Lower East Side,West Village-Lower East Side,Year1,12831
Year2West Village-Lower East Side,West Village-Lower East Side,Year2,12824
Year3West Village-Lower East Side,West Village-Lower East Side,Year3,16966
Year1West Village-Midtown,West Village-Midtown,Year1,26532
Year2West Village-Midtown,West Village-Midtown,Year2,22380
Year3West Village-Midtown,West Village-Midtown,Year3,28916
Year1West Village-Murray Hill,West Village-Murray Hill,Year1,3859
Year2West Village-Murray Hill,West Village-Murray Hill,Year2,3898
Year3West Village-Murray Hill,West Village-Murray Hill,Year3,6938
Year1West Village-Navy Yard,West Village-Navy Yard,Year1,22
Year2West Village-Navy Yard,West Village-Navy Yard,Year2,19
Year3West Village-Navy Yard,West Village-Navy Yard,Year3,39
Year1West Village-NoHo,West Village-NoHo,Year1,3207
Year2West Village-NoHo,West Village-NoHo,Year2,2379
Year3West Village-NoHo,West Village-NoHo,Year3,3914
Year1West Village-Nolita,West Village-Nolita,Year1,10241
Year2West Village-Nolita,West Village-Nolita,Year2,11863
Year3West Village-Nolita,West Village-Nolita,Year3,12225
Year1West Village-Park Slope,West Village-Park Slope,Year1,313
Year2West Village-Park Slope,West Village-Park Slope,Year2,191
Year3West Village-Park Slope,West Village-Park Slope,Year3,290
Year1West Village-SoHo,West Village-SoHo,Year1,27317
Year2West Village-SoHo,West Village-SoHo,Year2,26358
Year3West Village-SoHo,West Village-SoHo,Year3,37179
Year1West Village-Stuyvesant Town,West Village-Stuyvesant Town,Year1,4313
Year2West Village-Stuyvesant Town,West Village-Stuyvesant Town,Year2,4207
Year3West Village-Stuyvesant Town,West Village-Stuyvesant Town,Year3,5520
Year2West Village-Sunset Park,West Village-Sunset Park,Year2,3
Year3West Village-Sunset Park,West Village-Sunset Park,Year3,2
Year1West Village-Theater District,West Village-Theater District,Year1,4687
Year2West Village-Theater District,West Village-Theater District,Year2,4449
Year3West Village-Theater District,West Village-Theater District,Year3,5646
Year1West Village-Tribeca,West Village-Tribeca,Year1,26341
Year2West Village-Tribeca,West Village-Tribeca,Year2,24952
Year3West Village-Tribeca,West Village-Tribeca,Year3,33618
Year1West Village-Two Bridges,West Village-Two Bridges,Year1,391
Year2West Village-Two Bridges,West Village-Two Bridges,Year2,395
Year3West Village-Two Bridges,West Village-Two Bridges,Year3,554
Year1West Village-Upper East Side,West Village-Upper East Side,Year1,268
Year2West Village-Upper East Side,West Village-Upper East Side,Year2,151
Year3West Village-Upper East Side,West Village-Upper East Side,Year3,2479
Year1West Village-Upper West Side,West Village-Upper West Side,Year1,3922
Year2West Village-Upper West Side,West Village-Upper West Side,Year2,5493
Year3West Village-Upper West Side,West Village-Upper West Side,Year3,10779
Year1West Village-Vinegar Hill,West Village-Vinegar Hill,Year1,230
Year2West Village-Vinegar Hill,West Village-Vinegar Hill,Year2,200
Year3West Village-Vinegar Hill,West Village-Vinegar Hill,Year3,281
Year1West Village-West Village,West Village-West Village,Year1,75978
Year2West Village-West Village,West Village-West Village,Year2,78618
Year3West Village-West Village,West Village-West Village,Year3,100619
Year1West Village-Williamsburg,West Village-Williamsburg,Year1,1650
Year2West Village-Williamsburg,West Village-Williamsburg,Year2,1678
Year3West Village-Williamsburg,West Village-Williamsburg,Year3,2771
Year1Williamsburg-Battery Park City,Williamsburg-Battery Park City,Year1,305
Year2Williamsburg-Battery Park City,Williamsburg-Battery Park City,Year2,417
Year3Williamsburg-Battery Park City,Williamsburg-Battery Park City,Year3,814
Year1Williamsburg-Bedford-Stuyvesant,Williamsburg-Bedford-Stuyvesant,Year1,3899
Year2Williamsburg-Bedford-Stuyvesant,Williamsburg-Bedford-Stuyvesant,Year2,3650
Year3Williamsburg-Bedford-Stuyvesant,Williamsburg-Bedford-Stuyvesant,Year3,15370
Year1Williamsburg-Boerum Hill,Williamsburg-Boerum Hill,Year1,698
Year2Williamsburg-Boerum Hill,Williamsburg-Boerum Hill,Year2,608
Year3Williamsburg-Boerum Hill,Williamsburg-Boerum Hill,Year3,953
Year1Williamsburg-Brooklyn Heights,Williamsburg-Brooklyn Heights,Year1,1104
Year2Williamsburg-Brooklyn Heights,Williamsburg-Brooklyn Heights,Year2,1057
Year3Williamsburg-Brooklyn Heights,Williamsburg-Brooklyn Heights,Year3,2248
Year1Williamsburg-Central Park,Williamsburg-Central Park,Year1,27
Year2Williamsburg-Central Park,Williamsburg-Central Park,Year2,42
Year3Williamsburg-Central Park,Williamsburg-Central Park,Year3,137
Year1Williamsburg-Chelsea,Williamsburg-Chelsea,Year1,2193
Year2Williamsburg-Chelsea,Williamsburg-Chelsea,Year2,2144
Year3Williamsburg-Chelsea,Williamsburg-Chelsea,Year3,3459
Year1Williamsburg-Chinatown,Williamsburg-Chinatown,Year1,1445
Year2Williamsburg-Chinatown,Williamsburg-Chinatown,Year2,1469
Year3Williamsburg-Chinatown,Williamsburg-Chinatown,Year3,2922
Year1Williamsburg-Civic Center,Williamsburg-Civic Center,Year1,565
Year2Williamsburg-Civic Center,Williamsburg-Civic Center,Year2,551
Year3Williamsburg-Civic Center,Williamsburg-Civic Center,Year3,1341
Year1Williamsburg-Clinton Hill,Williamsburg-Clinton Hill,Year1,4725
Year2Williamsburg-Clinton Hill,Williamsburg-Clinton Hill,Year2,4394
Year3Williamsburg-Clinton Hill,Williamsburg-Clinton Hill,Year3,7554
Year1Williamsburg-Columbia St,Williamsburg-Columbia St,Year1,264
Year2Williamsburg-Columbia St,Williamsburg-Columbia St,Year2,231
Year3Williamsburg-Columbia St,Williamsburg-Columbia St,Year3,352
Year1Williamsburg-DUMBO,Williamsburg-DUMBO,Year1,1586
Year2Williamsburg-DUMBO,Williamsburg-DUMBO,Year2,1891
Year3Williamsburg-DUMBO,Williamsburg-DUMBO,Year3,3522
Year1Williamsburg-Downtown Brooklyn,Williamsburg-Downtown Brooklyn,Year1,1627
Year2Williamsburg-Downtown Brooklyn,Williamsburg-Downtown Brooklyn,Year2,2000
Year3Williamsburg-Downtown Brooklyn,Williamsburg-Downtown Brooklyn,Year3,3965
Year1Williamsburg-East Village,Williamsburg-East Village,Year1,6685
Year2Williamsburg-East Village,Williamsburg-East Village,Year2,7329
Year3Williamsburg-East Village,Williamsburg-East Village,Year3,11271
Year1Williamsburg-Financial District,Williamsburg-Financial District,Year1,2093
Year2Williamsburg-Financial District,Williamsburg-Financial District,Year2,1864
Year3Williamsburg-Financial District,Williamsburg-Financial District,Year3,4748
Year1Williamsburg-Flatiron District,Williamsburg-Flatiron District,Year1,538
Year2Williamsburg-Flatiron District,Williamsburg-Flatiron District,Year2,631
Year3Williamsburg-Flatiron District,Williamsburg-Flatiron District,Year3,1346
Year1Williamsburg-Fort Greene,Williamsburg-Fort Greene,Year1,4622
Year2Williamsburg-Fort Greene,Williamsburg-Fort Greene,Year2,3977
Year3Williamsburg-Fort Greene,Williamsburg-Fort Greene,Year3,7158
Year3Williamsburg-Governors Island,Williamsburg-Governors Island,Year3,5
Year1Williamsburg-Gramercy,Williamsburg-Gramercy,Year1,950
Year2Williamsburg-Gramercy,Williamsburg-Gramercy,Year2,1028
Year3Williamsburg-Gramercy,Williamsburg-Gramercy,Year3,2037
Year3Williamsburg-Greenpoint,Williamsburg-Greenpoint,Year3,61291
Year1Williamsburg-Greenwich Village,Williamsburg-Greenwich Village,Year1,1694
Year2Williamsburg-Greenwich Village,Williamsburg-Greenwich Village,Year2,1716
Year3Williamsburg-Greenwich Village,Williamsburg-Greenwich Village,Year3,2997
Year1Williamsburg-Hells Kitchen,Williamsburg-Hells Kitchen,Year1,520
Year2Williamsburg-Hells Kitchen,Williamsburg-Hells Kitchen,Year2,396
Year3Williamsburg-Hells Kitchen,Williamsburg-Hells Kitchen,Year3,575
Year1Williamsburg-Kips Bay,Williamsburg-Kips Bay,Year1,875
Year2Williamsburg-Kips Bay,Williamsburg-Kips Bay,Year2,710
Year3Williamsburg-Kips Bay,Williamsburg-Kips Bay,Year3,1357
Year3Williamsburg-Long Island City,Williamsburg-Long Island City,Year3,4708
Year1Williamsburg-Lower East Side,Williamsburg-Lower East Side,Year1,10228
Year2Williamsburg-Lower East Side,Williamsburg-Lower East Side,Year2,10204
Year3Williamsburg-Lower East Side,Williamsburg-Lower East Side,Year3,17265
Year1Williamsburg-Midtown,Williamsburg-Midtown,Year1,2382
Year2Williamsburg-Midtown,Williamsburg-Midtown,Year2,2210
Year3Williamsburg-Midtown,Williamsburg-Midtown,Year3,4013
Year1Williamsburg-Murray Hill,Williamsburg-Murray Hill,Year1,693
Year2Williamsburg-Murray Hill,Williamsburg-Murray Hill,Year2,679
Year3Williamsburg-Murray Hill,Williamsburg-Murray Hill,Year3,1370
Year1Williamsburg-Navy Yard,Williamsburg-Navy Yard,Year1,1326
Year2Williamsburg-Navy Yard,Williamsburg-Navy Yard,Year2,1310
Year3Williamsburg-Navy Yard,Williamsburg-Navy Yard,Year3,2448
Year1Williamsburg-NoHo,Williamsburg-NoHo,Year1,415
Year2Williamsburg-NoHo,Williamsburg-NoHo,Year2,486
Year3Williamsburg-NoHo,Williamsburg-NoHo,Year3,979
Year1Williamsburg-Nolita,Williamsburg-Nolita,Year1,2296
Year2Williamsburg-Nolita,Williamsburg-Nolita,Year2,3004
Year3Williamsburg-Nolita,Williamsburg-Nolita,Year3,3435
Year1Williamsburg-Park Slope,Williamsburg-Park Slope,Year1,420
Year2Williamsburg-Park Slope,Williamsburg-Park Slope,Year2,271
