FY,trip_string,total_trips
Year1,East New York-Flatbush,51
Year2,Norwood-Belmont,36
Year0,Allerton-Williamsbridge,39
Year0,LaGuardia Airport-Oakwood,31
Year0,Battery Park City-Emerson Hill,27
Year1,Ridgewood-LaGuardia Airport,101
Year1,Columbia St-South Slope,151
Year2,Corona-Brooklyn Heights,3
Year2,Randall's Island-East Elmhurst,49
Year2,Clinton Hill-Little Italy,170
Year2,East Elmhurst-Mott Haven,221
Year0,Wakefield-Wakefield,208
Year0,Harlem-Bronx Park,135
Year1,"Lower East Side-Chelsea, Staten Island",3
Year0,Mott Haven-East Elmhurst,121
Year1,Rego Park-Lower East Side,123
Year1,Woodside-NoHo,184
Year0,Greenwich Village-Hollis,66
Year1,Clinton Hill-Borough Park,83
Year0,Tribeca-Holliswood,37
Year3,Sunnyside-Briarwood,127
Year0,West Village-Highbridge,276
Year3,Chelsea-Floyd Bennett Field,38
Year3,Flatbush-Mill Basin,27
Year0,Financial District-Glen Oaks,40
Year0,East Flatbush-Springfield Gardens,4
Year2,Windsor Terrace-DUMBO,31
Year0,Stuyvesant Town-Woodhaven,30
Year2,Upper West Side-College Point,250
Year1,Kew Gardens-Williamsburg,38
Year1,Downtown Brooklyn-Upper West Side,4533
Year0,Middle Village-Ridgewood,73
Year0,Midtown-Glen Oaks,207
Year2,SoHo-Corona,458
Year3,Greenwich Village-Brownsville,442
Year1,Bay Ridge-Fort Greene,43
Year1,Prospect Heights-Bath Beach,25
Year0,East Elmhurst-Richmond Hill,273
Year2,Civic Center-Richmond Hill,65
Year1,Middle Village-Glendale,126
Year0,DUMBO-Bayside,2
Year3,Flushing Meadows Corona Park-Lower East Side,143
Year3,SoHo-Schuylerville,29
Year3,Murray Hill-Baychester,32
Year3,Crown Heights-Harlem,170
Year2,LaGuardia Airport-Randall Manor,47
Year1,Nolita-Midwood,185
Year0,Lower East Side-Broad Channel,36
Year3,East Flatbush-Williamsburg,84
Year0,Woodside-Highbridge,27
Year0,Clinton Hill-Forest Hills,66
Year0,Kensington-Long Island City,34
Year2,Concourse-East Village,56
Year1,South Ozone Park-Gowanus,19
Year0,Graniteville-Graniteville,87
Year0,Battery Park City-Edenwald,4
Year0,West Village-Bergen Beach,107
Year3,NoHo-South Ozone Park,97
Year3,Maspeth-Fort Greene,22
Year3,Red Hook-Civic Center,38
Year2,Middle Village-Corona,41
Year3,Roosevelt Island-Ditmars Steinway,144
Year2,South Ozone Park-Stuyvesant Town,58
Year1,Flatlands-Coney Island,4
Year0,Murray Hill-Oakwood,6
Year3,University Heights-East Morrisania,8
Year1,Upper East Side-St. George,57
Year0,Unionport-Hunts Point,10
Year3,Concourse-Van Nest,13
Year0,Eltingville-Great Kills,5
Year2,East Flatbush-Floyd Bennett Field,25
Year3,Richmond Hill-Financial District,72
Year3,Flatbush-Greenpoint,104
Year1,Briarwood-Battery Park City,38
Year1,NoHo-Morris Heights,30
Year2,East Village-Floral Park,49
Year2,Astoria-Borough Park,76
Year0,Chinatown-Briarwood,77
Year1,Stuyvesant Town-Bronxdale,15
Year3,Columbia St-Midwood,9
Year1,Baychester-Highbridge,2
Year1,Morris Heights-East Morrisania,13
Year0,Washington Heights-Bergen Beach,4
Year1,Brownsville-Longwood,1
Year2,Bronxdale-Crown Heights,1
Year3,Astoria-Wakefield,14
Year3,Columbia St-SoHo,107
Year3,Vinegar Hill-Upper West Side,40
Year2,Forest Park-Rego Park,28
Year0,Schuylerville-Norwood,2
Year3,Battery Park City-Morris Heights,29
Year0,City Island-Schuylerville,1
Year0,Washington Heights-Schuylerville,23
Year1,Kips Bay-Oakwood,4
Year2,Upper West Side-Eltingville,7
Year0,Civic Center-Jamaica Estates,26
Year2,Battery Park City-Fordham,67
Year0,Unionport-Upper East Side,62
Year2,Greenwich Village-Neponsit,3
Year3,Chinatown-Wakefield,46
Year3,Fordham-Springfield Gardens,1
Year3,Ditmars Steinway-Throgs Neck,45
Year3,Elmhurst-Brooklyn Heights,46
Year0,Norwood-Olinville,12
Year2,Throgs Neck-Mount Eden,5
Year3,Fordham-Woodlawn,7
Year2,Two Bridges-Kensington,30
Year2,Westchester Square-Mount Eden,6
Year0,Howland Hook-Howland Hook,6
Year2,Greenwich Village-Little Neck,21
Year1,Sunset Park-Parkchester,3
Year0,LaGuardia Airport-Port Richmond,25
Year0,Sheepshead Bay-Bedford-Stuyvesant,17
Year3,Mount Eden-Tremont,14
Year2,Williamsburg-Tremont,15
Year0,Cobble Hill-Jamaica,28
Year1,Mott Haven-Olinville,6
Year2,Harlem-Manhattan Beach,5
Year0,Roosevelt Island-Prospect Park,4
Year3,Mount Eden-Long Island City,2
Year0,SoHo-Silver Lake,12
Year3,Elmhurst-Bayswater,3
Year3,Maspeth-East New York,19
Year2,Ozone Park-Theater District,53
Year2,Mott Haven-Pelham Bay Park,6
Year0,Greenwich Village-Rockaway Park,24
Year3,Roosevelt Island-East Flatbush,5
Year3,Prospect Heights-Claremont Village,4
Year2,Vinegar Hill-Middle Village,4
Year3,Douglaston-Midtown,2
Year2,Middle Village-Richmond Hill,36
Year1,Civic Center-Latourette Park,1
Year1,Downtown Brooklyn-Baychester,4
Year1,Canarsie-Midtown,35
Year0,Woodside-Pelham Bay,6
Year0,Flatiron District-Clifton,10
Year0,Murray Hill-Eastchester,19
Year1,Marble Hill-Throgs Neck,4
Year3,Chinatown-Belle Harbor,5
Year0,Prospect Heights-Co-op City,2
Year2,Belmont-Battery Park City,2
Year2,Tribeca-Van Cortlandt Park,27
Year1,Long Island City-Woodlawn,44
Year2,Whitestone-Bellerose,8
Year1,Morrisania-Financial District,9
Year2,Jamaica-Sunnyside,50
Year1,SoHo-Latourette Park,4
Year0,Sunnyside-North Riverdale,9
Year1,Boerum Hill-Howard Beach,25
Year3,Boerum Hill-Flatlands,85
Year0,Ozone Park-Brownsville,6
Year2,Navy Yard-Battery Park City,14
Year2,Belmont-Longwood,29
Year3,Navy Yard-Ditmars Steinway,6
Year3,Cypress Hills-Bergen Beach,1
Year2,Morris Heights-Unionport,6
Year0,Randall's Island-Chinatown,16
Year3,Borough Park-Chelsea,30
Year3,Ferry Point Park-Throgs Neck,7
Year3,Canarsie-Harlem,5
Year0,Clinton Hill-Whitestone,1
Year0,Queens Village-Hollis Hills,10
Year1,Chinatown-Bull's Head,8
Year3,Flushing Meadows Corona Park-Flatlands,2
Year1,Little Italy-Howard Beach,14
Year1,College Point-Kew Gardens,3
Year1,Bushwick-West Brighton,1
Year1,East Harlem-Castleton Corners,8
Year1,Gramercy-Park Hill,4
Year3,Brownsville-Park Slope,9
Year2,Bedford-Stuyvesant-Jamaica Estates,25
Year0,Prospect Heights-Bronxdale,6
Year3,Kingsbridge-Two Bridges,1
Year1,NoHo-Bay Terrace,9
Year0,Jamaica Hills-Brooklyn Heights,1
Year2,Morningside Heights-Great Kills,2
Year2,DUMBO-Richmond Hill,6
Year2,Fordham-Canarsie,1
Year2,Schuylerville-Clason Point,5
Year2,Elmhurst-Bellerose,15
Year2,Jackson Heights-University Heights,14
Year1,Flatlands-Greenwich Village,6
Year2,Battery Park City-Marble Hill,9
Year0,Civic Center-Woodrow,4
Year3,Downtown Brooklyn-Cambria Heights,11
Year3,Park Slope-Randall's Island,8
Year1,Kensington-Richmond Hill,5
Year3,Inwood-East New York,4
Year2,Rosedale-Brownsville,1
Year0,Civic Center-Grymes Hill,5
Year0,Mariners Harbor-Murray Hill,1
Year3,Flushing-Cambria Heights,7
Year0,Nolita-Soundview,19
Year2,Dyker Heights-Columbia St,2
Year2,Westchester Square-Concourse,5
Year0,Riverdale-West Village,5
Year3,Sheepshead Bay-Rego Park,3
Year3,Kew Gardens Hills-SoHo,3
Year0,Gramercy-Richmondtown,3
Year2,Baychester-Theater District,1
Year3,Belle Harbor-Arverne,1
Year2,Coney Island-Windsor Terrace,3
Year3,Astoria-Marble Hill,11
Year2,Jamaica Hills-Woodside,12
Year3,Throgs Neck-Clason Point,5
Year3,Prospect Heights-Floyd Bennett Field,5
Year2,East Flatbush-Middle Village,1
Year2,Sunnyside-Fieldston,8
Year3,Greenpoint-Fresh Meadows,11
Year0,Glen Oaks-Upper West Side,1
Year2,Great Kills-Kips Bay,1
Year1,Little Italy-Williamsbridge,4
Year0,Gerritsen Beach-Little Italy,1
Year2,Queens Village-Flatiron District,1
Year1,Queens Village-Kew Gardens Hills,2
Year0,Greenpoint-Far Rockaway,2
Year3,Clinton Hill-Kew Gardens,11
Year3,Morningside Heights-Howard Beach,2
Year1,Bayside-Ozone Park,1
Year3,Flatbush-Little Italy,7
Year2,Hollis Hills-LaGuardia Airport,2
Year1,University Heights-Pelham Gardens,2
Year0,Norwood-Morningside Heights,6
Year2,Flushing-Hollis Hills,9
Year3,Mount Eden-Fort Hamilton,1
Year0,Midwood-Bergen Beach,3
Year3,Battery Park City-Pelham Bay Park,5
Year3,Greenpoint-Westchester Square,1
Year3,Flushing Meadows Corona Park-Rosedale,6
Year2,Midwood-East Harlem,11
Year1,Bensonhurst-Arden Heights,1
Year1,Arrochar-Prince's Bay,1
Year0,Rockaway Park-Howard Beach,1
Year2,Middle Village-Longwood,1
Year3,Flushing Meadows Corona Park-Morris Heights,4
Year3,Broad Channel-East Flatbush,1
Year0,Ridgewood-Cobble Hill,2
Year1,Flatbush-Little Italy,10
Year2,Hell's Kitchen-Grant City,13
Year1,Castle Hill-Longwood,4
Year3,Bronx Park-Hunts Point,1
Year3,Bronx Park-Flatiron District,2
Year0,Brooklyn Heights-Riverdale,5
Year3,Wakefield-Elmhurst,1
Year1,Bushwick-Belle Harbor,1
Year2,Mount Hope-Clason Point,6
Year3,East Flatbush-Bath Beach,6
Year1,Fresh Meadows-Ozone Park,2
Year3,Canarsie-Park Slope,6
Year0,Gravesend-Little Italy,1
Year3,Parkchester-Arverne,1
Year1,City Island-Theater District,2
Year0,Tremont-Inwood,4
Year3,East New York-Cobble Hill,2
Year1,Battery Park City-Pelham Gardens,7
Year3,NoHo-Hollis Hills,5
Year1,Little Italy-Hollis,5
Year2,Westchester Square-Gravesend,1
Year2,Sheepshead Bay-Bronxdale,2
Year2,Greenpoint-Rockaway Park,3
Year1,Richmond Hill-Carroll Gardens,2
Year0,Westerleigh-Mariners Harbor,1
Year2,South Beach-St. George,3
Year1,Park Slope-Douglaston,6
Year2,Co-op City-Clason Point,2
Year1,Gowanus-Bronx Park,1
Year1,Neponsit-Belle Harbor,1
Year0,East Flatbush-Jamaica Bay,2
Year0,Rego Park-Kingsbridge,5
Year0,Gowanus-Claremont Village,5
Year2,Concourse Village-Schuylerville,9
Year1,College Point-Park Slope,1
Year1,Fort Hamilton-Elmhurst,2
Year2,Clinton Hill-Mount Hope,3
Year3,Harlem-Glen Oaks,2
Year0,Lower East Side-Port Richmond,4
Year0,Hunts Point-Kensington,1
Year3,West Brighton-Mariners Harbor,1
Year3,Middle Village-Belle Harbor,1
Year2,Long Island City-Grymes Hill,1
Year1,College Point-Nolita,2
Year3,Columbia St-College Point,2
Year2,Washington Heights-Bull's Head,1
Year2,Bensonhurst-Canarsie,2
Year0,Tremont-Chelsea,3
Year1,Kew Gardens Hills-Chinatown,1
Year1,Throgs Neck-Williamsbridge,4
Year1,Downtown Brooklyn-Country Club,1
Year3,Columbia St-Cambria Heights,1
Year1,Dongan Hills-LaGuardia Airport,1
Year0,Floyd Bennett Field-Midtown,2
Year2,East Morrisania-Eastchester,2
Year3,Chinatown-Castleton Corners,5
Year3,Gravesend-Long Island City,2
Year3,NoHo-Clifton,1
Year2,Prospect Park-Mill Basin,2
Year0,Vinegar Hill-Marine Park,1
Year2,Crotona Park-Chelsea,1
Year0,Rego Park-Morrisania,2
Year3,Liberty Island-Nolita,1
Year2,Concourse Village-Brooklyn Heights,2
Year0,Kew Gardens Hills-Floral Park,7
Year3,Cambria Heights-Chelsea,2
Year3,Rego Park-Boerum Hill,5
Year1,Oakwood-Williamsburg,1
Year2,Bedford-Stuyvesant-Bay Terrace,3
Year0,Williamsbridge-Olinville,4
Year0,West Farms-Central Park,2
Year0,Throgs Neck-University Heights,1
Year2,Canarsie-Jackson Heights,1
Year0,Oakwood-Midtown,1
Year0,New Dorp-Emerson Hill,1
Year1,Plum Beach-Canarsie,3
Year1,Kew Gardens Hills-Civic Center,1
Year1,Central Park-Castleton Corners,1
Year0,Melrose-Battery Park City,4
Year3,Fresh Meadows-Concourse Village,1
Year1,Parkchester-Country Club,2
Year3,Rego Park-Melrose,2
Year1,Morris Heights-East Flatbush,1
Year1,Flushing-Red Hook,3
Year2,Greenwich Village-Edgemere,2
Year1,"Chelsea, Staten Island-Chelsea, Staten Island",1
Year2,Gowanus-Fordham,2
Year0,Prospect Heights-Woodrow,3
Year1,Bloomfield-Upper West Side,1
Year0,Briarwood-Schuylerville,1
Year1,Jamaica-Castleton Corners,1
Year2,Ferry Point Park-College Point,2
Year3,Inwood-Bensonhurst,1
Year1,Morris Heights-Queens Village,1
Year1,Washington Heights-Hollis,2
Year3,College Point-Chinatown,2
Year3,Whitestone-Bronxdale,2
Year1,Brooklyn Heights-Glen Oaks,1
Year1,Brighton Beach-Carroll Gardens,2
Year0,Borough Park-Bergen Beach,2
Year1,Little Italy-Edenwald,1
Year2,Rosebank-East Harlem,1
Year3,Roosevelt Island-Soundview,2
Year0,Westchester Square-Bellerose,1
Year2,Tompkinsville-Eltingville,1
Year1,Floral Park-Fort Hamilton,1
Year1,Civic Center-Little Neck,1
Year3,Morningside Heights-Edgemere,1
Year1,East New York-Red Hook,3
Year3,Hunts Point-Financial District,1
Year1,Jamaica Hills-Chinatown,2
Year2,Tompkinsville-Midtown,1
Year3,Bergen Beach-Schuylerville,1
Year1,Rockaway Beach-South Ozone Park,1
Year0,Borough Park-Bayside,1
Year2,Central Park-Graniteville,1
Year3,Marine Park-Kips Bay,1
Year3,Sunnyside-Port Richmond,1
Year1,Inwood-Queens Village,1
Year1,Mill Basin-Chelsea,1
Year1,Eastchester-Bronxdale,1
Year0,Hollis-Prospect Heights,1
Year0,Jamaica Hills-Van Nest,1
Year2,Gowanus-Bay Terrace,1
Year2,St. George-Jamaica,1
Year2,Upper West Side-Bloomfield,1
Year2,Parkchester-Sheepshead Bay,1
Year1,Flushing-Melrose,1
Year2,Astoria-Mariners Harbor,1
Year3,Park Slope-Spuyten Duyvil,1
Year3,Columbia St-Fresh Meadows,1
Year0,Fort Hamilton-University Heights,1
Year3,Elmhurst-Alley Pond Park,1
FY,trip_string,total_trips
Year2,Astoria-Long Island City,54071
Year2,Stuyvesant Town-Kips Bay,50091
Year3,SoHo-NoHo,34553
Year3,SoHo-Little Italy,10267
Year3,Central Park-East Harlem,46830
Year2,Greenwich Village-Murray Hill,96341
Year2,Little Italy-Downtown Brooklyn,1610
Year2,Central Park-Flatiron District,17904
Year3,Downtown Brooklyn-Lower East Side,5077
Year3,Chelsea-Roosevelt Island,3410
Year2,Gramercy-Clinton Hill,5081
Year3,John F. Kennedy International Airport-Kew Gardens,6746
Year3,LaGuardia Airport-Williamsburg,76391
Year2,Upper West Side-Elmhurst,4731
Year2,Central Park-Kingsbridge,282
Year3,Flatiron District-Corona,462
Year3,LaGuardia Airport-Mill Basin,381
Year1,Morningside Heights-Harlem,93071
Year0,Midtown-Kips Bay,771194
Year0,Theater District-Murray Hill,164920
Year0,Chinatown-SoHo,25592
Year1,Murray Hill-Astoria,17690
Year1,Chinatown-Midtown,63106
Year1,DUMBO-Clinton Hill,2340
Year1,Murray Hill-Brooklyn Heights,7735
Year1,Brooklyn Heights-Kips Bay,3154
Year1,Chelsea-Washington Heights,58060
Year0,Downtown Brooklyn-Maspeth,505
Year1,Little Italy-Upper West Side,7699
Year1,East Village-Sunset Park,11432
Year1,LaGuardia Airport-Glendale,2082
Year1,Park Slope-Upper East Side,4615
Year0,LaGuardia Airport-Bronxdale,773
Year1,Briarwood-Tribeca,72
Year1,Kips Bay-John F. Kennedy International Airport,24153
Year3,Crown Heights-Prospect Heights,1309
Year3,Carroll Gardens-Crown Heights,2907
Year3,Mott Haven-Washington Heights,491
Year0,Randall's Island-Financial District,83
Year0,Greenpoint-Fort Greene,2528
Year0,Fort Greene-Upper West Side,3126
Year0,Chelsea-Marine Park,486
Year0,Harlem-Kew Gardens Hills,117
Year0,Boerum Hill-John F. Kennedy International Airport,1488
Year0,Midtown-Red Hook,3409
Year0,Concourse-Concourse,2095
Year2,East Elmhurst-Greenpoint,610
Year1,Harlem-Kingsbridge,1629
Year1,Harlem-Spuyten Duyvil,290
Year0,Lower East Side-Fort Greene,14044
Year0,DUMBO-Red Hook,388
Year2,Astoria-Hell's Kitchen,4775
Year2,Bedford-Stuyvesant-Nolita,247
Year2,Tribeca-Sunset Park,4001
Year2,Upper East Side-Bath Beach,497
Year2,Chinatown-Washington Heights,1437
Year2,Midtown-Tompkinsville,100
Year3,Park Slope-Boerum Hill,3979
Year2,Financial District-Red Hook,3701
Year0,Chelsea-Tremont,579
Year2,Financial District-Schuylerville,60
Year1,Hell's Kitchen-Borough Park,1721
Year2,Queens Village-Queens Village,556
Year0,Battery Park City-Astoria,1816
Year2,Murray Hill-Woodlawn,475
Year0,DUMBO-East Village,3757
Year1,Crown Heights-Brownsville,742
Year1,Chinatown-Prospect Park,729
Year1,Chelsea-Claremont Village,1046
Year0,Central Park-Prospect Heights,365
Year0,Ditmars Steinway-Upper West Side,2821
Year0,Morningside Heights-Chinatown,1402
Year0,Park Slope-Dyker Heights,282
Year3,Park Slope-Cobble Hill,1689
Year3,Midtown-Melrose,1833
Year0,Kips Bay-Bath Beach,166
Year3,John F. Kennedy International Airport-Williamsbridge,994
Year1,Prospect Park-Windsor Terrace,224
Year0,West Village-Flushing,1484
Year3,Jackson Heights-Ditmars Steinway,979
Year3,Brooklyn Heights-NoHo,1080
Year1,NoHo-Fieldston,66
Year3,West Village-Ozone Park,308
Year2,Tribeca-Hollis,27
Year0,Chelsea-Rockaway Park,83
Year1,Park Slope-Bath Beach,123
Year1,Flatiron District-Borough Park,480
Year0,Williamsbridge-Kingsbridge,6
Year3,South Slope-East Village,345
Year0,Spuyten Duyvil-Kingsbridge,61
Year0,Red Hook-East Village,268
Year0,Astoria-Bronxdale,86
Year3,Greenpoint-Inwood,43
Year3,Port Morris-Central Park,113
Year3,South Slope-Battery Park City,125
Year1,Civic Center-Two Bridges,1325
Year3,Columbia St-DUMBO,133
Year1,Mott Haven-East Harlem,2634
Year0,LaGuardia Airport-Melrose,563
Year3,Upper East Side-Gravesend,1119
Year0,Greenpoint-Richmond Hill,115
Year2,Two Bridges-Williamsburg,735
Year1,Stuyvesant Town-Clinton Hill,661
Year1,Williamsburg-East Elmhurst,1833
Year2,Astoria-Rockaway Park,14
Year2,Jamaica-Lower East Side,358
Year3,John F. Kennedy International Airport-Oakwood,102
Year3,West Farms-Fordham,29
Year2,Upper West Side-Schuylerville,234
Year3,Nolita-Jamaica,73
Year0,Astoria-Civic Center,268
Year0,Inwood-Flatiron District,52
Year3,Co-op City-Edenwald,11
Year3,Morris Park-Fordham,10
Year0,Roosevelt Island-Murray Hill,375
Year1,Concourse Village-Melrose,81
Year2,Forest Hills-Hell's Kitchen,118
Year1,Forest Hills-Flushing Meadows Corona Park,298
Year1,Claremont Village-Fordham,60
Year0,East Harlem-Bronxdale,268
Year1,John F. Kennedy International Airport-Tottenville,64
Year2,Bushwick-Harlem,289
Year1,Two Bridges-Brooklyn Heights,348
Year0,Dyker Heights-Financial District,11
Year3,Lower East Side-Soundview,317
Year2,West Village-West Brighton,94
Year2,Fort Greene-Maspeth,191
Year2,East Village-Concourse Village,1027
Year2,Port Morris-Longwood,167
Year2,Greenpoint-Vinegar Hill,179
Year1,Springfield Gardens-John F. Kennedy International Airport,211
Year2,Edenwald-Crown Heights,1
Year2,Harlem-Forest Hills,245
Year1,Morningside Heights-Pelham Bay Park,4
Year0,Bedford-Stuyvesant-Civic Center,139
Year0,Downtown Brooklyn-Flatlands,228
Year1,Kingsbridge-Bedford-Stuyvesant,9
Year1,South Ozone Park-Concourse Village,4
Year3,Kensington-Bensonhurst,127
Year2,Kew Gardens-Astoria,74
Year2,Flushing Meadows Corona Park-West Village,155
Year0,East Elmhurst-Jamaica Estates,97
Year0,East Elmhurst-Prospect Park,63
Year0,Tribeca-Woodlawn,57
Year0,John F. Kennedy International Airport-Graniteville,132
Year2,Park Slope-Ridgewood,440
Year1,Mott Haven-Jackson Heights,91
Year1,Flatiron District-West Farms,58
Year0,Kips Bay-Claremont Village,267
Year0,"Chelsea, Staten Island-Chelsea, Staten Island",34
Year1,Lower East Side-Morris Heights,177
Year2,Sunnyside-Throgs Neck,19
Year2,John F. Kennedy International Airport-Edgemere,322
Year0,Fort Hamilton-Sheepshead Bay,57
Year3,Upper West Side-Morris Park,834
Year2,Prospect Park-Upper West Side,120
Year3,Central Park-Bensonhurst,30
Year2,Inwood-Theater District,182
Year3,Battery Park City-Ozone Park,68
Year1,Mount Eden-Parkchester,15
Year1,Norwood-Belmont,24
Year1,Civic Center-Ozone Park,46
Year1,SoHo-Spuyten Duyvil,253
Year0,NoHo-Pelham Gardens,17
Year3,Rego Park-Rockaway Park,2
Year3,Gravesend-Battery Park City,20
Year2,Kensington-Gravesend,170
Year2,Melrose-West Village,11
Year0,East Harlem-Glendale,90
Year2,SoHo-West Brighton,22
Year3,Flatbush-Jamaica,27
Year2,Greenpoint-Mill Basin,3
Year1,East Elmhurst-Laurelton,19
Year2,Bronxdale-East Village,2
Year2,Unionport-Downtown Brooklyn,28
Year3,Kingsbridge-Gramercy,4
Year3,SoHo-Richmond Hill,251
Year0,Co-op City-Parkchester,9
Year2,Little Italy-Morris Heights,11
Year1,Inwood-Greenwich Village,80
Year1,Kips Bay-Howard Beach,152
Year3,Little Italy-Coney Island,5
Year3,Windsor Terrace-Downtown Brooklyn,34
Year0,Gowanus-Brownsville,17
Year2,Harlem-Olinville,67
Year2,Prospect-Lefferts Gardens-Woodside,29
Year0,Bedford-Stuyvesant-Jamaica Estates,12
Year3,Gerritsen Beach-Gerritsen Beach,17
Year3,Civic Center-Kew Gardens,63
Year2,Downtown Brooklyn-College Point,25
Year3,Tribeca-Manhattan Beach,34
Year3,Tribeca-Norwood,164
Year3,Park Slope-Ditmars Steinway,252
Year0,Sheepshead Bay-Prospect Park,5
Year2,Morris Park-Schuylerville,9
Year3,Sunset Park-Ridgewood,40
Year2,Vinegar Hill-Theater District,51
Year0,Nolita-East New York,74
Year0,Inwood-Claremont Village,20
Year0,Nolita-Whitestone,52
Year0,Sunset Park-Navy Yard,20
Year3,Elmhurst-Navy Yard,10
Year1,Kingsbridge-Marble Hill,94
Year1,Gramercy-Castleton Corners,27
Year1,Astoria-Rosedale,30
Year1,West Village-Forest Park,61
Year2,Central Park-Kensington,132
Year0,Morrisania-Tremont,16
Year2,Maspeth-Downtown Brooklyn,52
Year2,Carroll Gardens-Flushing,54
Year0,Wakefield-Co-op City,8
Year3,Bay Ridge-Clinton Hill,10
Year2,Cobble Hill-Inwood,19
Year2,Cypress Hills-Hell's Kitchen,8
Year3,Mount Eden-Throgs Neck,5
Year1,Morris Heights-Harlem,168
Year1,Two Bridges-Fort Hamilton,88
Year1,Fort Greene-Kingsbridge,35
Year3,Richmond Hill-Forest Park,8
Year2,Flatlands-Prospect-Lefferts Gardens,66
Year1,East Harlem-Woodhaven,83
Year1,Van Nest-Kingsbridge,8
Year2,University Heights-Two Bridges,1
Year2,Navy Yard-Bedford-Stuyvesant,137
